param_seed,config_idx,blocked_idx,blocked_edge,flow_blocked,outcome,worst_gap,elapsed_s
14,14,16,"(7, 8)",-2,eulerian,0.0,0.03
14,14,17,"(7, 10)",2,eulerian,0.0,0.01
14,14,19,"(8, 11)",-3,eulerian,0.0,0.025
14,14,20,"(9, 10)",2,eulerian,0.0,0.011
14,14,21,"(10, 11)",4,eulerian,0.0,0.009
15,15,0,"(0, 1)",-3,eulerian,0.0,0.009
15,15,1,"(0, 11)",3,eulerian,0.0,0.009
15,15,4,"(1, 5)",-3,eulerian,0.0,0.021
15,15,5,"(2, 3)",-1,eulerian,0.0,0.006
15,15,7,"(2, 11)",1,eulerian,0.0,0.006
15,15,8,"(3, 4)",2,eulerian,0.0,0.007
15,15,9,"(3, 6)",-3,eulerian,0.0,0.025
15,15,11,"(4, 5)",2,eulerian,0.0,0.007
15,15,12,"(5, 6)",-1,eulerian,0.0,0.005
15,15,14,"(6, 9)",-1,eulerian,0.0,0.008
15,15,15,"(6, 10)",-3,eulerian,0.0,0.012
15,15,16,"(7, 8)",2,eulerian,0.0,0.015
15,15,17,"(7, 10)",-2,eulerian,0.0,0.009
15,15,18,"(8, 9)",2,eulerian,0.0,0.027
15,15,20,"(9, 10)",1,eulerian,0.0,0.006
15,15,21,"(10, 11)",-4,eulerian,0.0,0.01
16,16,0,"(0, 1)",-2,eulerian,0.0,0.009
16,16,1,"(0, 11)",2,eulerian,0.0,0.008
16,16,2,"(1, 2)",-4,eulerian,0.0,0.012
16,16,3,"(1, 3)",2,eulerian,0.0,0.007
16,16,6,"(2, 8)",-2,eulerian,0.0,0.007
16,16,7,"(2, 11)",-2,eulerian,0.0,0.007
16,16,8,"(3, 4)",2,eulerian,0.0,0.007
16,16,11,"(4, 5)",2,eulerian,0.0,0.007
16,16,12,"(5, 6)",2,eulerian,0.0,0.023
16,16,13,"(6, 7)",2,eulerian,0.0,0.012
16,16,14,"(6, 9)",-3,eulerian,0.0,0.01
16,16,15,"(6, 10)",3,eulerian,0.0,0.025
16,16,17,"(7, 10)",2,eulerian,0.0,0.01
16,16,18,"(8, 9)",-2,eulerian,0.0,0.023
16,16,20,"(9, 10)",-5,eulerian,0.0,0.01
17,17,0,"(0, 1)",2,eulerian,0.0,0.01
17,17,1,"(0, 11)",-2,eulerian,0.0,0.009
17,17,2,"(1, 2)",2,eulerian,0.0,0.006
17,17,5,"(2, 3)",1,eulerian,0.0,0.025
17,17,6,"(2, 8)",1,eulerian,0.0,0.008
17,17,8,"(3, 4)",2,eulerian,0.0,0.007
17,17,10,"(3, 8)",-1,eulerian,0.0,0.025
17,17,11,"(4, 5)",2,eulerian,0.0,0.007
17,17,12,"(5, 6)",2,eulerian,0.0,0.024
17,17,13,"(6, 7)",-4,eulerian,0.0,0.009
17,17,14,"(6, 9)",-2,eulerian,0.0,0.034
17,17,15,"(6, 10)",8,eulerian,0.0,0.023
17,17,17,"(7, 10)",-4,eulerian,0.0,0.008
17,17,20,"(9, 10)",-2,eulerian,0.0,0.009
17,17,21,"(10, 11)",2,eulerian,0.0,0.025
19,18,0,"(0, 1)",-2,eulerian,0.0,0.009
19,18,1,"(0, 11)",2,eulerian,0.0,0.009
19,18,2,"(1, 2)",-2,eulerian,0.0,0.007
19,18,3,"(1, 3)",2,eulerian,0.0,0.007
19,18,4,"(1, 5)",-2,eulerian,0.0,0.021
19,18,6,"(2, 8)",-2,eulerian,0.0,0.007
