edge_id,node_u,node_v,length_meters,flow,flow_magnitude,direction
368,41804914,41804912,107.03,1,1,41804914 -> 41804912
369,41804914,42311243,160.67,0,0,unused
370,42203750,41607964,121.16,1,1,42203750 -> 41607964
371,42203750,41712031,170.97,0,0,unused
372,42203750,9081275780,147.72,1,1,42203750 -> 9081275780
373,41588169,41607964,146.53,-1,1,41607964 -> 41588169
374,41588169,41607962,115.97,-1,1,41607962 -> 41588169
375,41588169,331908934,114.02,-1,1,331908934 -> 41588169
376,42203741,41607962,119.72,3,3,42203741 -> 41607962
377,42203741,42203736,115.15,3,3,42203741 -> 42203736
378,41607964,331945389,112.79,-1,1,331945389 -> 41607964
379,41607964,9081275780,262.66,1,1,41607964 -> 9081275780
380,41607962,41607959,116.24,1,1,41607962 -> 41607959
381,41607962,331908931,115.04,1,1,41607962 -> 331908931
382,331908934,331945389,149.92,1,1,331908934 -> 331945389
383,331908934,1502089239,23.43,0,0,unused
384,331908934,1502089208,89.54,-2,2,1502089208 -> 331908934
385,41804917,41804919,146.1,-1,1,41804919 -> 41804917
386,41599799,41599801,116.25,1,1,41599799 -> 41599801
387,41599801,41882908,102.16,1,1,41599801 -> 41882908
388,41599801,42037586,99.51,2,2,41599801 -> 42037586
389,41882908,41882907,116.69,-1,1,41882907 -> 41882908
390,41882908,42604859,96.1,2,2,41882908 -> 42604859
391,42037586,41701777,97.35,1,1,42037586 -> 41701777
392,1401842466,41882913,100.02,5,5,1401842466 -> 41882913
393,1401842466,42037611,100.68,-2,2,42037611 -> 1401842466
394,41599884,12897608600,120.26,-1,1,12897608600 -> 41599884
395,41599884,2128508261,14.35,19,19,41599884 -> 2128508261
396,41599884,41882944,240.44,-16,16,41882944 -> 41599884
397,41599884,11332312888,118.81,-2,2,11332312888 -> 41599884
398,12897608600,12897697009,4.06,-1,1,12897697009 -> 12897608600
399,12897608600,12897697005,120.75,0,0,unused
400,2128508261,317522158,106.44,-1,1,317522158 -> 2128508261
401,2128508261,41599887,106.86,20,20,2128508261 -> 41599887
402,41599887,1556606335,320.04,-1,1,1556606335 -> 41599887
403,41599887,317522158,14.16,0,0,unused
404,41599887,12897697005,112.68,21,21,41599887 -> 12897697005
405,1556606335,12897697016,106.44,1,1,1556606335 -> 12897697016
406,317522158,3019500800,115.98,-1,1,3019500800 -> 317522158
407,12897697005,12897697011,4.72,21,21,12897697005 -> 12897697011
408,41599895,317521341,8.55,1,1,41599895 -> 317521341
409,41599895,1556606323,132.71,2,2,41599895 -> 1556606323
410,41599895,12897697019,115.64,-25,25,12897697019 -> 41599895
411,41599895,1450708279,77.28,22,22,41599895 -> 1450708279
412,317521341,41599897,116.43,1,1,317521341 -> 41599897
413,317521341,2297694158,98.5,-1,1,2297694158 -> 317521341
414,317521341,1450708279,77.53,1,1,317521341 -> 1450708279
415,1556606323,41599897,74.78,1,1,1556606323 -> 41599897
416,12897697019,12895886671,9.03,2,2,12897697019 -> 12895886671
417,41599897,42604859,104.16,3,3,41599897 -> 42604859
418,42604859,2297694158,116.59,3,3,42604859 -> 2297694158
419,317521787,11907040128,88.36,1,1,317521787 -> 11907040128
420,317521787,3367417791,86.03,0,0,unused
421,41599905,11907040124,115.93,0,0,unused
422,11907040124,11907040128,79.71,-1,1,11907040128 -> 11907040124
423,41882915,41882913,110.78,-6,6,41882913 -> 41882915
424,41882915,1680569993,142.49,0,0,unused
425,41601190,41673720,113.65,1,1,41601190 -> 41673720
426,41601190,41997895,118.85,-1,1,41997895 -> 41601190
427,41601190,1680570366,115.73,-1,1,1680570366 -> 41601190
428,41601190,1680570139,116.48,1,1,41601190 -> 1680570139
429,41673720,41673718,117.08,1,1,41673720 -> 41673718
430,41673720,42604678,118.2,1,1,41673720 -> 42604678
431,41673720,41673722,117.18,-1,1,41673722 -> 41673720
432,41997895,41997893,117.76,0,0,unused
433,41997895,1680570361,115.14,2,2,41997895 -> 1680570361
434,41997895,42482209,115.23,-3,3,42482209 -> 41997895
435,1680570366,41601194,368.46,2,2,1680570366 -> 41601194
436,1680570366,41673722,116.24,3,3,1680570366 -> 41673722
437,1680570366,1680570361,120.24,-6,6,1680570361 -> 1680570366
438,1680570139,41673718,114.06,1,1,1680570139 -> 41673718
439,1680570139,41997893,119.19,1,1,1680570139 -> 41997893
440,1680570139,1556606607,119.1,-1,1,1556606607 -> 1680570139
441,41601194,41673724,115.24,2,2,41601194 -> 41673724
442,41601194,41997903,120.24,1,1,41601194 -> 41997903
443,41601194,41601196,221.34,-1,1,41601196 -> 41601194
444,41673724,41673722,368.11,-1,1,41673722 -> 41673724
445,41673724,41673726,221.51,0,0,unused
446,41673724,42205597,111.59,3,3,41673724 -> 42205597
447,41997903,41997909,221.49,-1,1,41997909 -> 41997903
448,41997903,1680570361,368.07,3,3,41997903 -> 1680570361
449,41997903,331932983,112.17,-1,1,331932983 -> 41997903
450,41601196,41673726,112.93,-1,1,41673726 -> 41601196
451,41601196,41997909,120.62,-1,1,41997909 -> 41601196
452,41601196,41601197,216.83,1,1,41601196 -> 41601197
453,41673726,41673729,217.63,-2,2,41673729 -> 41673726
454,41673726,42200598,115.98,1,1,41673726 -> 42200598
455,41997909,41997914,217.28,-3,3,41997914 -> 41997909
456,41997909,331932980,112.8,1,1,41997909 -> 331932980
457,41601197,415169068,68.96,0,0,unused
458,41601197,41997914,123.9,7,7,41601197 -> 41997914
459,41601197,41673729,109.82,-6,6,41673729 -> 41601197
460,415169068,41601199,45.32,1,1,415169068 -> 41601199
461,415169068,1515869506,109.41,-1,1,1515869506 -> 415169068
462,41997914,1515869489,56.02,1,1,41997914 -> 1515869489
463,41997914,4900785345,95.23,3,3,41997914 -> 4900785345
464,41673729,42452986,116.67,-8,8,42452986 -> 41673729
465,41601199,41629291,224.43,1,1,41601199 -> 41629291
466,41601199,41601201,24.83,0,0,unused
467,41629291,42452986,113.27,1,1,41629291 -> 42452986
468,41629291,2281519344,216.39,-1,1,2281519344 -> 41629291
469,41629291,198036396,77.65,1,1,41629291 -> 198036396
470,41601201,10685083367,6.62,1,1,41601201 -> 10685083367
471,41601201,1512268487,22.01,-1,1,1512268487 -> 41601201
472,10685083367,10685083365,22.0,-1,1,10685083365 -> 10685083367
473,10685083367,8644484289,82.25,2,2,10685083367 -> 8644484289
474,1512268487,10685083365,5.88,-1,1,10685083365 -> 1512268487
475,1512268487,1515869506,27.19,0,0,unused
476,41607948,41607950,118.36,-1,1,41607950 -> 41607948
477,41607948,331901579,113.5,1,1,41607948 -> 331901579
478,41607948,41634718,119.03,-1,1,41634718 -> 41607948
479,41607948,1526072498,116.34,1,1,41607948 -> 1526072498
480,41607950,41607952,111.52,1,1,41607950 -> 41607952
481,41607950,41706255,119.3,-1,1,41706255 -> 41607950
482,41607950,331908914,117.84,-1,1,331908914 -> 41607950
